Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,25980,26180,25420,25580,22242.25781,13557800
2016-04-04,25580,26100,25580,26100,22694.39844,9402300
2016-04-05,25980,25980,25200,25200,21911.83789,11815950
2016-04-06,25380,25820,25360,25700,22346.59375,9211700
2016-04-07,26000,26000,25160,25380,22068.34766,12939750
2016-04-08,25380,25380,24800,24920,21668.37109,12593400
2016-04-11,24920,25420,24920,25320,22016.17773,6034650
2016-04-12,25400,25620,25320,25500,22172.69141,6702700
2016-04-14,26000,26040,25780,26000,22607.44727,16766350
2016-04-15,26180,26200,25800,26000,22607.44727,6829950
2016-04-18,25900,26100,25840,25980,22590.06055,6423700
2016-04-19,25880,25920,25660,25760,22398.76758,7238300
2016-04-20,25640,26000,25640,25980,22590.06055,8598600
2016-04-21,26000,26020,25760,25880,22503.10547,7254450
2016-04-22,25880,25880,25540,25600,22259.64258,5741500
2016-04-25,25700,25700,25420,25620,22277.03125,4597850
2016-04-26,25700,26100,25660,25920,22537.88867,8345050
2016-04-27,25880,26000,25720,26000,22607.44727,8297300
2016-04-28,26000,26000,25220,25300,21998.78711,14653450
2016-04-29,25200,25340,24840,24900,21650.98047,16253900
2016-05-02,24940,25240,24900,25000,21737.93164,7027600
2016-05-03,25340,25400,25120,25220,21929.22852,7903300
2016-05-04,25440,25800,25240,25800,22433.54297,14702750
2016-05-09,25800,26000,25700,25980,22590.06055,13718100
2016-05-10,25980,26000,25760,25920,22537.88867,8559550
2016-05-11,25920,25980,25740,25840,22468.33008,8834400
2016-05-12,25840,25840,25500,25620,22277.03125,7615100
2016-05-13,25620,25620,25020,25060,21790.10352,12284900
2016-05-16,25060,25260,24940,24960,21703.1543,11720150
2016-05-17,24980,25300,24980,25280,21981.40039,9183550
2016-05-18,25280,25420,25100,25360,22050.95703,9169600
2016-05-19,25360,25540,25320,25400,22085.74023,10012450
2016-05-20,25400,25600,25380,25380,22068.34766,7960550
2016-05-23,25380,25720,25380,25720,22363.98047,8112550
2016-05-24,25720,25780,25360,25420,22103.12891,10434600
2016-05-25,25660,25960,25480,25900,22520.5,11862750
2016-05-26,25980,26060,25900,25920,22537.88867,12653650
2016-05-27,26000,26020,25460,25640,22294.41992,13744550
2016-05-30,25940,25940,25480,25600,22259.64258,10315350
2016-05-31,25600,26000,25360,25840,22468.33008,62527700
2016-06-01,25960,26820,25900,26660,23181.33203,23504000
2016-06-02,27000,27440,26920,27300,23737.82422,23806950
2016-06-03,27400,27580,27280,27540,23946.50195,17066200
2016-06-07,27720,28040,27600,27960,24311.70508,23142150
2016-06-08,28380,28380,27780,28120,24450.82813,18808100
2016-06-09,28160,28600,28120,28600,24868.19922,25768750
2016-06-10,28480,28500,28080,28120,24450.82813,14484050
2016-06-13,27920,27920,27240,27420,23842.16406,15248300
2016-06-14,27420,27720,27380,27600,23998.67773,12273050
2016-06-15,27700,28320,27660,28260,24572.55664,15334450
2016-06-16,28260,28340,27900,28180,24502.99609,14621550
2016-06-17,28200,28700,28200,28520,24798.63281,16419700
2016-06-20,28540,28960,28520,28620,24885.58398,13515800
2016-06-21,28640,28980,28520,28960,25181.21875,10020550
2016-06-22,28920,29000,28620,28900,25129.04688,8948250
2016-06-23,28880,28900,28540,28600,24868.19922,11256300
2016-06-24,28900,28900,27200,28000,24346.48242,20552600
2016-06-27,28000,28100,27700,27960,24311.70508,11839000
2016-06-28,27800,28080,27580,27980,24329.09766,10718950
2016-06-29,28160,28240,27820,27920,24294.28711,10527050
2016-06-30,28160,28900,27940,28500,24798.9668,13671700
2016-07-01,28540,29580,28540,29320,25512.48047,14393600
2016-07-04,29280,29480,29020,29320,25512.48047,7995000
2016-07-05,29320,29500,29240,29380,25564.69336,7870350
2016-07-06,28940,29040,28240,28420,24729.35742,16749150
2016-07-07,28420,29000,28320,29000,25234.03711,11495200
2016-07-08,29000,29500,28980,29200,25408.06445,13498150
2016-07-11,29200,30000,29200,29780,25912.74219,14056800
